ProductKey,Unit price,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
353,2319.99,BK-M68S-38,1,LB ,CM ,"Mountain-200 Silver, 38","Montaña: 200, plateada, 38","VTT 200 argent, 38",1265.6195,TRUE,Silver,100,75,2319.99,38,38-40 CM,23,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
355,2319.99,BK-M68S-42,1,LB ,CM ,"Mountain-200 Silver, 42","Montaña: 200, plateada, 42","VTT 200 argent, 42",1265.6195,TRUE,Silver,100,75,2319.99,42,42-46 CM,24,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
357,2319.99,BK-M68S-46,1,LB ,CM ,"Mountain-200 Silver, 46","Montaña: 200, plateada, 46","VTT 200 argent, 46",1265.6195,TRUE,Silver,100,75,2319.99,46,42-46 CM,24,4,M ,1391.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
359,2294.99,BK-M68B-38,1,LB ,CM ,"Mountain-200 Black, 38","Montaña: 200, negra, 38","VTT 200 noir, 38",1251.9813,TRUE,Black,100,75,2294.99,38,38-40 CM,23,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
361,2294.99,BK-M68B-42,1,LB ,CM ,"Mountain-200 Black, 42","Montaña: 200, negra, 42","VTT 200 noir, 42",1251.9813,TRUE,Black,100,75,2294.99,42,42-46 CM,24,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
363,2294.99,BK-M68B-46,1,LB ,CM ,"Mountain-200 Black, 46","Montaña: 200, negra, 46","VTT 200 noir, 46",1251.9813,TRUE,Black,100,75,2294.99,46,42-46 CM,24,4,M ,1376.994,H ,U ,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.,Conduite sur terrains très accidentés. Idéal pour tous les niveaux de compétition. Utilise le même cadre HL que le Montain-100.,????????????????????????????? Mountain-100 ??? HL ???,?????? ????????? ?? ??????? ???????. ????? ????? ????? ??????? ????????. ?????? ??? ???? HL Frame ???????? ?? ???? Mountain-100.,?????? ?????? ?????? ??????. ??????? ??? ??? ?? ?????. ???????? ??? ???? ????? ?- HL Frame (????? HL) ??? ??? ?????? ???? Mountain-100 (100-????),???????????????????????????  ???????????????????????????????????  ??????? HL ?????????????????? Mountain-100,Mountainbike für Profis. Perfekt für alle Schwierigkeitsgrade geeignet. Mit dem gleichen HL-Rahmen wie das Mountain-100.,??? ??????????????????Mountain-100 ??? HL ?????????????,Gerçek arazi sürü?ü. Tüm yar??ma seviyeleri için mükemmel. Mountain-100 ile ayn? HL kadro kullan?lm??t?r.,01-07-2013,,Current
372,2443.35,BK-R89R-58,2,LB ,CM ,"Road-250 Red, 58","Carretera: 250, roja, 58","Vélo de route 250 rouge, 58",1554.9479,TRUE,Red,100,75,2443.35,58,54-58 CM,16,4,R ,1466.01,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne.",??????????????????????????????????,???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.,"????? ??????? ????????? ????? ????? ??? ??????, ??? ?? ?????? ?????? ???? ?? ?????? ?????? ??????? ?????? ??????.",?????????????????????? ?????????????????? ?????? ????????????????????????????? ???????????????????????????????????,Der Rahmen aus Aluminiumlegierung bietet leichtes und stabiles Fahrvergnügen - ob im Velodrom oder auf Landstraßen.,??? ????????????????????????????????????????????????????????????,"""Alüminyum ala??m? kadro, ister velodromda yar?? yap?n, ister köy yollar?nda zorlu tak?m sürü?lerine kat?l?n hafif ve sa?lam bir sürü? deneyimi sunar.""",01-07-2013,,Current
374,2443.35,BK-R89B-44,2,LB ,CM ,"Road-250 Black, 44","Carretera: 250, negra, 44","Vélo de route 250 noir, 44",1554.9479,TRUE,Black,100,75,2443.35,44,42-46 CM,15,4,R ,1466.01,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne.",??????????????????????????????????,???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.,"????? ??????? ????????? ????? ????? ??? ??????, ??? ?? ?????? ?????? ???? ?? ?????? ?????? ??????? ?????? ??????.",?????????????????????? ?????????????????? ?????? ????????????????????????????? ???????????????????????????????????,Der Rahmen aus Aluminiumlegierung bietet leichtes und stabiles Fahrvergnügen - ob im Velodrom oder auf Landstraßen.,??? ????????????????????????????????????????????????????????????,"""Alüminyum ala??m? kadro, ister velodromda yar?? yap?n, ister köy yollar?nda zorlu tak?m sürü?lerine kat?l?n hafif ve sa?lam bir sürü? deneyimi sunar.""",01-07-2013,,Current
376,2443.35,BK-R89B-48,2,LB ,CM ,"Road-250 Black, 48","Carretera: 250, negra, 48","Vélo de route 250 noir, 48",1554.9479,TRUE,Black,100,75,2443.35,48,48-52 CM,15,4,R ,1466.01,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne.",??????????????????????????????????,???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.,"????? ??????? ????????? ????? ????? ??? ??????, ??? ?? ?????? ?????? ???? ?? ?????? ?????? ??????? ?????? ??????.",?????????????????????? ?????????????????? ?????? ????????????????????????????? ???????????????????????????????????,Der Rahmen aus Aluminiumlegierung bietet leichtes und stabiles Fahrvergnügen - ob im Velodrom oder auf Landstraßen.,??? ????????????????????????????????????????????????????????????,"""Alüminyum ala??m? kadro, ister velodromda yar?? yap?n, ister köy yollar?nda zorlu tak?m sürü?lerine kat?l?n hafif ve sa?lam bir sürü? deneyimi sunar.""",01-07-2013,,Current
378,2443.35,BK-R89B-52,2,LB ,CM ,"Road-250 Black, 52","Carretera: 250, negra, 52","Vélo de route 250 noir, 52",1554.9479,TRUE,Black,100,75,2443.35,52,48-52 CM,15,4,R ,1466.01,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","Cadre en alliage d'aluminium qui offre une conduite légère et rapide, sur pistes ou sur routes de campagne.",??????????????????????????????????,???? ?????? ??????? ?? ????? ???????? ????? ???? ?????? ?????? ?? ??? ?????? ????? ??? ?????? ?? ???? ???? ?????? ?? ?? ???? ????? ?????? ???? ? ???? ??????? ? ???? ????? ?????.,"????? ??????? ????????? ????? ????? ??? ??????, ??? ?? ?????? ?????? ???? ?? ?????? ?????? ??????? ?????? ??????.",?????????????????????? ?????????????????? ?????? ????????????????????????????? ???????????????????????????????????,Der Rahmen aus Aluminiumlegierung bietet leichtes und stabiles Fahrvergnügen - ob im Velodrom oder auf Landstraßen.,??? ????????????????????????????????????????????????????????????,"""Alüminyum ala??m? kadro, ister velodromda yar?? yap?n, ister köy yollar?nda zorlu tak?m sürü?lerine kat?l?n hafif ve sa?lam bir sürü? deneyimi sunar.""",01-07-2013,,Current
